Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
4.8307E-7,0.000048307,0.000218365,1,0,0
6.23418E-7,0.000110649,0.000281798,0.99990016,0,0
6.3664E-7,0.000301197,0.000287774,0.999600639,0,0
6.49547E-7,0.000557927,0.000293607,0.999201278,0,0
6.9883E-7,0.001036835,0.000315881,0.998502396,0,0
8.23293E-7,0.002507974,0.000372129,0.996605431,0,0
9.03548E-7,0.005028629,0.000408397,0.993710064,0,0
9.8178E-7,0.01004104,0.000443749,0.98841853,0,0
1.0938E-6,0.025052102,0.000494367,0.974141374,0,0
1.23717E-6,0.050073523,0.000559147,0.952476038,0,0
1.53238E-6,0.100062687,0.000692528,0.916932907,0,0
1.92236E-6,0.200041179,0.000868694,0.859025559,0,0
2.23466E-6,0.300033397,0.001009745,0.810902556,0,0
2.45501E-6,0.400142477,0.001109257,0.768370607,0,0
2.66854E-6,0.500132639,0.001205677,0.729432907,0,0
2.90288E-6,0.600045222,0.001311487,0.693590256,0,0
3.16566E-6,0.700053509,0.001430122,0.660642971,0,0
3.31172E-6,0.750225386,0.001496057,0.645167732,0,0
3.47951E-6,0.800110466,0.001571795,0.630491214,0,0
3.7813E-6,0.900092285,0.001708007,0.603035144,0,0
4.03412E-6,1.000282899,0.001822101,0.577376198,0,0
4.36845E-6,1.100398393,0.00197296,0.553514377,0,0
4.8331E-6,1.2002025,0.002182587,0.531849042,0,0
5.41929E-6,1.300381657,0.002446979,0.512280351,0,0
5.97897E-6,1.40107365,0.00269935,0.494608626,0,0
6.57846E-6,1.500545744,0.002969601,0.478734026,0,0
8.29238E-6,1.750533818,0.003741841,0.445087859,0,0
9.81613E-6,2.00044453,0.004427888,0.417531949,0,0
1.07109E-5,2.250385642,0.00483054,0.393270767,0,0
1.1368E-5,2.500018967,0.005126126,0.370706869,0,0
1.18697E-5,2.750030832,0.005351735,0.349241214,0,0
1.24866E-5,3.002981942,0.005629088,0.328474441,0,0
1.32285E-5,3.250991744,0.005962549,0.309205272,0,0
1.3884E-5,3.500383896,0.006257106,0.290834665,0,0
1.45727E-5,3.751123276,0.006566462,0.27326278,0,0
1.52973E-5,4.004524399,0.006891817,0.256289936,0,0
1.62318E-5,4.25109002,0.007311279,0.240615016,0,0
1.75062E-5,4.500378246,0.007883063,0.225838658,0,0
1.89129E-5,4.75090634,0.008513781,0.212060703,0,0
2.04668E-5,5.003088579,0.009210071,0.19928115,0,0
2.24673E-5,5.251228816,0.010105715,0.187699681,0,0
2.50918E-5,5.500986357,0.011279511,0.177216454,0,0
2.79565E-5,5.750119419,0.012559155,0.16783147,0,0
3.06883E-5,6.001908156,0.013777922,0.159245208,0,0
3.34022E-5,6.252862411,0.014987171,0.151457668,0,0
3.74778E-5,6.502965178,0.016800393,0.14446885,0,0
4.14806E-5,6.751317872,0.018577988,0.138178914,0,0
4.50727E-5,7.000703359,0.020170462,0.132388179,0,0
4.89211E-5,7.25377873,0.021873726,0.126996805,0.055555556,0
5.25656E-5,7.50245967,0.023483947,0.122104633,0.055555556,0
5.67402E-5,7.754534606,0.025325183,0.117511981,0.055555556,0
6.02757E-5,8.000488904,0.02688179,0.11331869,0.055555556,0
6.46637E-5,8.255703211,0.02881029,0.10922524,0.055555556,0
6.85957E-5,8.502071784,0.030535135,0.10553115,0.055555556,0
7.25151E-5,8.750325594,0.032251424,0.102036741,0.055555556,0
7.70396E-5,9.005065696,0.034228885,0.098642173,0.055555556,0
8.19644E-5,9.252446433,0.036376726,0.095547125,0.055555556,0
8.64702E-5,9.504895371,0.038337607,0.092551917,0.055555556,0
9.33188E-5,9.756731471,0.041310465,0.08975639,0.055555556,0
9.94353E-5,10.008241806,0.043957753,0.087160543,0.055555556,0
1.03548E-4,10.250526656,0.045733706,0.084764377,0.055555556,0
1.12396E-4,10.510459289,0.049543186,0.082368211,0.055555556,0
1.17453E-4,10.752646884,0.0517138,0.080271565,0.055555556,0
1.23883E-4,11.007243008,0.054466308,0.07817492,0.055555556,0
1.31065E-4,11.262033821,0.057531012,0.076178115,0.055555556,0
1.35023E-4,11.501995616,0.05921629,0.07438099,0.055555556,0
1.41494E-4,11.750617272,0.061964372,0.072583866,0.055555556,0
1.47123E-4,12.010012451,0.064348482,0.070786741,0.055555556,0
