Predictor variable,Categorical,Sample average
SL1,false,17.61666668785943
SL10,false,19.05555597941081
SL11,false,18.64999993642171
SL12,false,18.088888592190212
SL2,false,18.138888994852703
SL3,false,19.122222317589653
SL4,false,20.050000190734863
SL5,false,20.277777459886337
SL6,false,19.58888891008165
SL7,false,19.272222254011368
SL8,false,19.205555544959175
SL9,false,19.25000015894572
SL_p1,false,218.61111111111111
SL_p10,false,264.3888888888889
SL_p11,false,288.1666666666667
SL_p12,false,304.0
SL_p2,false,121.27777777777777
SL_p3,false,125.83333333333333
SL_p4,false,204.77777777777777
SL_p5,false,185.5
SL_p6,false,144.66666666666666
SL_p7,false,150.66666666666666
SL_p8,false,141.55555555555554
SL_p9,false,157.05555555555554
SL_s1,false,218.61111111111111
SL_s10,false,264.3888888888889
SL_s11,false,288.1666666666667
SL_s12,false,304.0
SL_s2,false,121.27777777777777
SL_s3,false,125.83333333333333
SL_s4,false,204.77777777777777
SL_s5,false,185.5
SL_s6,false,144.66666666666666
SL_s7,false,150.66666666666666
SL_s8,false,141.55555555555554
SL_s9,false,157.05555555555554
