Species,Lat,Long
Pycnonotus penicillatus,6.88042,80.80785
Pycnonotus penicillatus,6.80405,80.80628
Pycnonotus penicillatus,6.78962,80.80546
Pycnonotus penicillatus,6.78320,80.79697
Pycnonotus penicillatus,6.78331,80.79613
Pycnonotus penicillatus,6.79194,80.79022
Pycnonotus penicillatus,6.96893,80.76901
Pycnonotus penicillatus,6.96875,80.76896
Pycnonotus penicillatus,6.96880,80.76892
Pycnonotus penicillatus,6.96689,80.77869
Pycnonotus penicillatus,6.96609,80.77732
Pycnonotus penicillatus,6.92433,80.82323
Pycnonotus penicillatus,7.52326,80.75465
Pycnonotus penicillatus,7.52327,80.73702
Pycnonotus penicillatus,7.52293,80.73641
Pycnonotus penicillatus,7.52227,80.73440
Pycnonotus penicillatus,7.52358,80.73317
Pycnonotus penicillatus,7.52395,80.73200
Pycnonotus penicillatus,7.52616,80.73242
Pycnonotus penicillatus,7.52658,80.73240
Pycnonotus penicillatus,7.52284,80.73715
Pycnonotus penicillatus,7.53094,80.73973
Pycnonotus penicillatus,6.96893,80.76901
Pycnonotus penicillatus,7.52306,80.73656
Pycnonotus penicillatus,7.52238,80.73459
Pycnonotus penicillatus,7.52238,80.73459
Pycnonotus penicillatus,7.52238,80.73459
Pycnonotus penicillatus,7.52286,80.73363
Pycnonotus penicillatus,7.52400,80.73286
Pycnonotus penicillatus,7.52677,80.73196
Pycnonotus penicillatus,7.54412,80.75494
Pycnonotus penicillatus,7.54924,80.76903
Pycnonotus penicillatus,7.54761,80.75387
Pycnonotus penicillatus,6.760117,80.44863
Pycnonotus penicillatus,6.389,80.59500
