"SCIENTIFIC NAME","OBSERVATION COUNT","LATITUDE","LONGITUDE","OBSERVATION DATE"
"Pycnonotus penicillatus","X",7.21016,79.831218,"10/19/12"
"Pycnonotus penicillatus","X",6.9815668,80.1745011,"1/20/14"
"Pycnonotus penicillatus","2",6.888566,79.943347,"12/11/16"
"Pycnonotus penicillatus","2",6.888566,79.943347,"12/12/16"
"Pycnonotus penicillatus","2",6.746289,80.191729,"7/15/18"
"Pycnonotus penicillatus","1",6.911849,79.922374,"9/15/18"
"Pycnonotus penicillatus","1",6.8887869,79.938305,"1/1/19"
"Pycnonotus penicillatus","4",6.724506,80.1560344,"4/13/19"
"Pycnonotus penicillatus","2",6.7854276,79.9446623,"4/5/19"
"Pycnonotus penicillatus","X",6.896115,79.887817,"11/1/20"
"Pycnonotus penicillatus","5",6.747163,80.191518,"12/13/20"
"Pycnonotus penicillatus","4",6.7937452,80.8012247,"4/27/11"
"Pycnonotus penicillatus","1",6.9674935,80.7675362,"4/28/11"
"Pycnonotus penicillatus","X",6.9589603,80.7737589,"10/30/11"
"Pycnonotus penicillatus","X",6.8114406,80.787921,"10/28/11"
"Pycnonotus penicillatus","8",6.9674935,80.7675362,"11/19/11"
"Pycnonotus penicillatus","X",6.8017992,80.8074045,"12/22/11"
"Pycnonotus penicillatus","X",7.9201149,80.6795614,"12/25/11"
"Pycnonotus penicillatus","X",6.8017992,80.8074045,"12/22/11"
"Pycnonotus penicillatus","1",6.9703902,80.7722139,"12/4/11"
"Pycnonotus penicillatus","X",7.9201149,80.6795614,"12/25/11"
"Pycnonotus penicillatus","1",6.9703902,80.7722139,"12/4/11"
"Pycnonotus penicillatus","X",6.9709007,80.7727211,"1/8/12"
"Pycnonotus penicillatus","2",6.9674935,80.7675362,"2/11/12"
"Pycnonotus penicillatus","4",6.9257665,80.8217919,"2/12/12"
"Pycnonotus penicillatus","4",6.8017992,80.8074045,"2/12/12"
"Pycnonotus penicillatus","2",6.9709007,80.7727211,"3/26/12"
"Pycnonotus penicillatus","X",6.9261286,80.8222318,"4/10/12"
"Pycnonotus penicillatus","6",6.9709007,80.7727211,"4/7/12"
"Pycnonotus penicillatus","1",7.5258481,80.7386782,"4/7/12"
"Pycnonotus penicillatus","4",6.8017992,80.8074045,"4/8/12"
"Pycnonotus penicillatus","1",6.8017992,80.8074045,"5/4/12"
"Pycnonotus penicillatus","4",6.8017992,80.8074045,"8/15/12"
"Pycnonotus penicillatus","1",6.9709007,80.7727211,"8/15/12"
"Pycnonotus penicillatus","20",7.0151378,80.7784858,"8/9/12"
"Pycnonotus penicillatus","20",7.0151378,80.7784858,"8/10/12"
"Pycnonotus penicillatus","1",7.4336822,80.8444834,"11/5/12"
"Pycnonotus penicillatus","X",6.8418783,80.7902979,"11/7/12"
"Pycnonotus penicillatus","X",6.9680667,80.7684157,"11/7/12"
"Pycnonotus penicillatus","1",6.9674935,80.7675362,"11/18/12"
"Pycnonotus penicillatus","10",6.8235461,80.5200326,"11/9/12"
"Pycnonotus penicillatus","X",6.8017992,80.8074045,"12/6/12"
"Pycnonotus penicillatus","1",6.7989015,80.8045077,"12/15/12"
"Pycnonotus penicillatus","X",6.8017992,80.8074045,"12/26/12"
"Pycnonotus penicillatus","4",6.9674935,80.7675362,"1/3/13"
"Pycnonotus penicillatus","16",6.8017992,80.8074045,"1/3/13"
"Pycnonotus penicillatus","4",6.939094,80.8005629,"1/4/13"
"Pycnonotus penicillatus","1",6.8017992,80.8074045,"2/4/13"
"Pycnonotus penicillatus","3",6.9709007,80.7727211,"2/20/13"
"Pycnonotus penicillatus","2",6.9674935,80.7675362,"2/22/13"
"Pycnonotus penicillatus","1",6.9543992,80.7824012,"2/16/13"
"Pycnonotus penicillatus","1",6.9543992,80.7824012,"2/17/13"
"Pycnonotus penicillatus","10",6.8017992,80.8074045,"2/18/13"
"Pycnonotus penicillatus","2",6.8113059,80.7879407,"2/17/13"
"Pycnonotus penicillatus","1",6.801799,80.807405,"3/11/13"
"Pycnonotus penicillatus","2",6.967494,80.767536,"3/10/13"
"Pycnonotus penicillatus","1",6.8050804,80.7920837,"3/27/13"
"Pycnonotus penicillatus","2",6.9674935,80.7675362,"3/26/13"
"Pycnonotus penicillatus","1",6.9850437,80.7783508,"7/14/13"
"Pycnonotus penicillatus","X",6.8017992,80.8074045,"8/22/13"
"Pycnonotus penicillatus","X",6.8053304,80.5754471,"8/19/13"
"Pycnonotus penicillatus","8",6.8017992,80.8074045,"9/25/13"
"Pycnonotus penicillatus","X",6.93885,80.80005,"9/13/13"
"Pycnonotus penicillatus","8",6.811,80.7879,"9/25/13"
"Pycnonotus penicillatus","X",6.9709007,80.7727211,"11/22/13"
"Pycnonotus penicillatus","X",6.9674935,80.7675362,"11/28/13"
"Pycnonotus penicillatus","5",6.8017992,80.8074045,"11/23/13"
"Pycnonotus penicillatus","5",6.9257665,80.8217919,"11/22/13"
"Pycnonotus penicillatus","2",6.955055,80.790024,"11/20/13"
"Pycnonotus penicillatus","4",6.8017992,80.8074045,"11/21/13"
"Pycnonotus penicillatus","X",6.9709007,80.7727211,"11/28/13"
"Pycnonotus penicillatus","X",6.9709007,80.7727211,"11/22/13"
"Pycnonotus penicillatus","6",6.9257665,80.8217919,"11/22/13"
"Pycnonotus penicillatus","2",6.9696021,80.7686949,"12/8/13"
"Pycnonotus penicillatus","7",6.8017992,80.8074045,"12/27/13"
"Pycnonotus penicillatus","4",6.8257047,80.8063316,"12/8/13"
